Time	Text	Length	Number	Rocket_type	Rocket_number	for_search	Updated_date	Update_info	memo	
06/09 07:00:00	【今日の人工衛星】6/9 1966年：MIDAS10（ミサイル早期警戒衛星）、SECOR6（測位衛星）、ERS16（空軍の実験衛星） アメリカの軍事衛星3機がアトラス　アジェナDロケットで打ち上げられた	101	n060901d							
06/10 07:00:00	【今日の人工衛星】6/10 2003年：スピリット アメリカの火星探査機。打ち上げ直前のコロンビア号の事故を受けて死亡した搭乗員7人を記念したプレートが付いている。2004年1月から2010年1月まで探査を続けた	106	n061001d							
06/11 07:00:00	【今日の人工衛星】6/11 2008年：フェルミガンマ線宇宙望遠鏡 米・仏・独・伊・日・スウェーデンの共同研究のため打ち上げられた。大面積望遠鏡(LAT)・ガンマ線バーストモニター(GBM)が相補的に観測	102	n061101d							
06/12 07:00:00	【今日の人工衛星】6/12 1967年：ベネラ4号 旧ソ連の金星探査機。金星の大気を高度24.69kmまで観測し、別の惑星の観測を現地で行った初めての衛星となった。なお、初の軟着陸は3号だったが、3号は通信は出来ていない	110	n061201d							
06/12 07:01:00	【今日の人工衛星】6/12 1975年：ニンバス6号 アメリカの地球観測衛星。米国の地球リモートセンシング開発の中心となったシリーズ。3号は衛星を利用した測位技術を初搭載、7号はオゾン層観測機能を持ち、オゾンホールを観測	110	n061202d							
06/12 07:02:00	【今日の人工衛星】6/12 2003年：BSAT-2c 放送衛星システム所有のBSデジタル用放送衛星。アリアンVロケットで打上。BSAT-2bが打上に失敗したための代替となる衛星。一時期はBSAT-2aに代わり本放送を行っていたが、予備機運用後、2013年8月に運用終了。	136	n061203d				20170515	修正		
06/13 07:00:00	【今日の人工衛星】6/13 1984年：NAVSTAR-9 GPS衛星のブロックIシリーズ。ブロックIは実験的要素もあった 1968年：IDCSP4-1～4-8 米軍の通信衛星の初代シリーズ。8機を同時に打ち上げる仕組み	110	n061301d							
06/14 07:00:00	【今日の人工衛星】6/14 1967年：マリナー5号 アメリカの金星探査機。火星探査機のマリナー4号のバックアップだったが、マリナー4号の成功をうけ金星探査機に転用。6/12打ち上げのベネラ4号と観測を相互補完した	107	n061401d							
06/15 07:00:00	【今日の人工衛星】6/15(UTC) 1963年：ボストーク5号 旧ソ連による有人飛行。4日と23時間7分で地球を82周したのは、単独の飛行では現在でも世界最長。翌々日打ち上げのボストーク6号と交信も行った	103	n061501d							
06/15 07:01:00	【今日の人工衛星】6/15 2010年：DCAM-2 ソーラー電力セイル実証機IKAROSから分離された、セイルの展張状況を撮影するための分離カメラ。IKAROS全体の撮影に成功。	90	n061502d							
06/16 07:00:00	【今日の人工衛星】6/16 1963年：ボストーク6号 旧ソ連による有人飛行、ボストーク計画の最後の飛行。ワレンチナ・テレシコワ飛行士による、世界初の女性のフライト。先に打ち上げられたボストーク5号と交信も行った	106	n061601d							
06/17 07:00:00	【今日の人工衛星】6/17 1985年：STS-51G ディスカバリーの飛行、アルサウド飛行士が、初のサウジアラビア人・初のムスリムとして宇宙飛行。NHK「爆問学問×JAXA」にて米・仏の飛行士とのフライトへのコメントが	110	n061701d1							
06/17 07:00:30	【今日の人工衛星】(続き)紹介された。アルサウド飛行士の言葉「最初の1日か2日はみんなが自分の国を指していた、3日目・4日目は、それぞれ自分の大陸を指さした、5日目、わたしたちの目に映っているのはたった1つの地球だった」	110	n061701d2							
06/18 07:00:00	【今日の人工衛星】6/18 2009年：ルナー・リコネサンス・オービター アメリカの月探査衛星、有人月探査に向けた調査を主目的とした探査機。LCROSSと衝突体を月に衝突させて月にまとまった量の水が存在することを確認。	109	n061801d							
06/19 07:00:00	【今日の人工衛星】6/19 1981年：APPLE アリアン1ロケットで打ち上げられたISRO(インド宇宙研究機関)の通信衛星の実験機。3軸制御の通信衛星の実験であった	84	n061901d							
06/19 07:01:00	【今日の人工衛星】6/19 2010年：DCAM-1 ソーラー電力セイル実証機IKAROSから分離された、セイルの展張状況を撮影するための分離カメラ。6/15に分離したDCAM-2より低速で分離し、方向制御用の液晶デバイスの動作を確認。	118	n061902d							
06/20 07:00:00	【今日の人工衛星】6/20 2008年：Jason2 フランスの海洋観測衛星。海洋循環とその気候との相互作用の観測および理解の向上が目的。JAXAの宇宙環境計測装置TEDA/LPTも搭載され、宇宙放射線の観測も実施	107	n062001d							
06/21 07:00:00	【今日の人工衛星】6/21 1993年：STS-57 初のスペースハブ(商業用宇宙実験室)を搭載。EURECA(欧州宇宙実験プラットホーム)の回収や、ハッブル宇宙望遠鏡の修理に向けた訓練としての船外活動も実施	104	n062101d							
06/22 07:00:00	【今日の人工衛星】6/22 1976年：サリュート5号 旧ソ連の軍事用宇宙ステーション「アルマース」を民間目的を装って打ち上げたもの。アルマースとしては、3度目の機体であり、これが最後の機体。2回に分け4人の飛行士が滞在	110	n062201d							
06/23 07:00:00	【今日の人工衛星】6/23 1977年：NTS-2 アメリカのGPSに向けた技術試験衛星。セシウムの原子時計、ニッケル水素電池、3軸制御などを試験し、相対論で示された時間の進み方のズレも検証。	96	n062301d							
06/24 07:00:00	【今日の人工衛星】6/24 1999年：FUSE 遠紫外線分光探査機。90.5-119.5nmの紫外線を観測。2007年7月12日、リアクションホイールが全て故障し運用終了	86	n062401d							
06/25 07:00:00	【今日の人工衛星】6/25 1974年：サリュート3号 旧ソ連の軍事宇宙ステーション「アルマース」の2機目。NR-23機関砲（Tu-22のものを改良）を搭載しており、遠隔操作で発射し衛星を狙撃したとされる	102	n062501d							
06/26 07:00:00	【今日の人工衛星】6/26 2003年：Orbview 3 米国Orbital Imaging Corporation社の地球観測衛星。Pegasus XLロケットで打ち上げ。8km×8kmの範囲を撮影する。	104	n062601d							
06/27 07:00:00	【今日の人工衛星】6/27 1982年：STS-4 スペースシャトルの4回目のミッション。ここまでがスペースシャトル自体の研究開発の位置づけだった。初めて予定された時間に正確にスペースシャトルが打ち上げられたミッション	109	n062701d							
06/28 07:00:00	【今日の人工衛星】6/28 2000年：Tsinghua(精華)1 中国の地球観測・通信研究用小型衛星、将来は7個の衛星で災害をモニタリング + Snap-1 イギリスの学生が打ち上げた小型衛星、初めての3軸制御小型衛星	110	n062801d							
06/29 07:00:00	【今日の人工衛星】6/29 1969年：Biosatellite 3 アメリカの実験衛星。アカゲザルのボニー（Bonny）が搭乗。30日間の予定が、体調不良から8日間に短縮。ボニーは地球帰還後8時間で脱水症状で死亡…	108	n062901d							
06/30 07:00:00	【今日の人工衛星】6/30 2003年：Cubesat XI-IV(東大中須賀研)、CUTE-I(東工大松永研) いずれも大学の研究室による小型衛星。2011年現在、いずれも生きており、後期運用中。	99	n063001d							
06/30 07:01:00	【今日の人工衛星・番外編】6/30 1971年：ソユーズ11号の死亡事故 帰還モジュールとソユーズ本体を繋ぐバルブの部分に欠陥があり、空気を喪って死亡事故となった。現在唯一の「宇宙空間における」死亡事故となっている	107	n063002d							
07/01 07:00:00	【今日の人工衛星】7/1 1966年：エクスプローラー33号 アメリカの磁場・放射線を計測する衛星。月軌道への投入は失敗したが計画した観測は実施。第一研究者はヴァンアレン帯の発見者、 ジェームズ・ヴァン・アレン	105	n070101d							
07/02 07:00:00	【今日の人工衛星】7/2 1985年：ジオット ESAのハレー彗星探査機。彗星から600kmまで最接近、彗星の核を撮影。名前は、1301年のハレーの接近を壁画に描いたイタリアの画家ジョット・ディ・ボンドーネに由来	106	n070201d							
07/03 07:00:00	【今日の人工衛星】7/3(UTC) 1998年：のぞみ 火星探査機。月の裏側を撮影、旧ソ連・米国に次ぎ3番目となる。度重なる故障、月で2回、地球で3回のスイングバイを経て火星近くに到達するも軌道投入はかなわず	104	n070301d	J_M5	3	J_M5_3				
07/04 03:12:00	★1998年の今日7月4日 3:12に火星探査機「のぞみ」は打ち上げられました。度重なる故障にみまわれ、月で2回、地球で3回のスイングバイを経て火星近くに到達するも軌道投入は成功しませんでした。	97	n070301t1	J_M5	3	J_M5_3				
07/04 07:00:00	【今日の人工衛星】7/4 2006年：STS-121 コロンビア号事故後2回目。初回のSTS-114で外部タンク破片問題が再発したため更に1年間対策を行った。スペースシャトルがアメリカ独立記念日に打ち上げられたのは初	108	n070401d							
07/05 07:00:00	【今日の人工衛星】7/5 1966年：アポロAS-203 二度目に行われたサターンIBの発射実験。非公式にアポロ2号とも。二段目ロケットS-IVBのタンク内の燃料の無重力状態での振る舞いを確認することが目的で、実験は成功	110	n070501d							
07/06 07:00:00	【今日の人工衛星】7/6 2002年：N-STAR C NTTドコモの衛星携帯電話サービス用の衛星。アリアン5により打ち上げ、東経136に位置し、現在も運用中	79	n070601d							
07/07 07:00:00	【今日の人工衛星】7/7 1995年：HELIOS 1A フランスの軍事衛星。1m程度の精度の撮影能力を持つと推定。フランス単独では資金が不足するため、イタリア、スペインと資金を分担して打ち上げられたとされる。	105	n070701d							
07/08 07:00:00	【今日の人工衛星】7/8(UTC) 1994年：BS-3N BSアナログ放送用予備衛星。アリアン44Lロケットで打ち上げられ、2001年まで運用された。（なぜかwikipediaに記述がほとんどない…）	101	n070801d							
07/09 07:00:00	【今日の人工衛星】7/9(UTC) 1996年：Turksat 1C トルコの通信衛星。1Aが打ち上げ失敗したための保険条項により製作されたとのこと	74	n070901d							
07/10 07:00:00	【今日の人工衛星】7/10 2005年：すざく あすかに続く5機目の日本のX線天文衛星であり、2000年に打ち上げ失敗したASTRO-Eの代替機。液体ヘリウム喪失事故があったものの、2015年6月まで運用は継続された。	109	n071001d	J_M5	6	J_M5_6	20170515	修正		
07/10 12:30:00	★2005年の今日、7月10日12:30にX線天文衛星「すざく」がM-Vロケット6号機により打ち上げ。5機目の日本のX線天文衛星、液体ヘリウム喪失事故があったものの、優れた観測能力を10年間発揮していた	101	n071001t1	J_M5	6	J_M5_6	20170515	修正		
07/11 07:00:00	【今日の人工衛星】7/11 1990年：Gamma1 旧ソ連のガンマ線・X線観測衛星、フランスとの共同プロジェクト。1965年には望遠鏡の基本設計がされていたが紆余曲折により25年後の打ち上げとなった	100	n071101d							
07/12 07:00:00	【今日の人工衛星】7/12 2001年：BSAT-2b 日本の衛星放送用の衛星。BSデジタル用予備機となる予定だったが、静止軌道投入に失敗。衛星自体は正常に稼働していたが、使用できず。	92	n071201d							
07/13 07:00:00	【今日の人工衛星】7/13 1995年：ガリレオ（プローブ） アメリカの木星探査機ガリレオの大気観測プローブがこの日ガリレオ本体から切り離された。プローブは12月7日に大気に突入、57分間にわたり木星の大気の観測を実施	109	n071301d							
07/14 07:00:00	【今日の人工衛星】7/14 1977年：ひまわり1号 日本初の気象衛星、現在に続く日本の気象観測の先駆け。ケネディ宇宙センターからデルタロケットで打ち上げ。1981年の2号打ち上げ後も予備機として1989年まで運用。	108	n071401d							
07/14 19:39:00	★1977年の今日7/14 19:39、日本初の気象衛星、ひまわり1号が打ち上げ。ケネディ宇宙センターからデルタロケットで打ち上げられ、1981年の2号打ち上げ後も予備機として1989年まで運用。	98	n071401t1							
07/15 07:00:00	【今日の人工衛星】7/15 1975年：アポロ・ソユーズテスト計画 米ソの宇宙船ドッキング方式の研究のため、ソユーズ19号とアポロ(18号相当)がドッキング。デタントの中で行われたこの実験は将来のISS等にも活用されている	111	n071501d				20170515	修正		
07/15 07:01:00	【今日の人工衛星】7/15 2009年：STS-127 エンデバー23回目の飛行。STS-123,124に続き日本の実験棟「きぼう」の組み立てを行い、完成させた。若田光一宇宙飛行士の長期滞在の帰還にも用いられた	105	n071502d							
07/16 07:03:00	★2009年の今日7/16 7:03、スペースシャトル・エンデバーで、実験棟きぼうの船外実験プラットフォーム・船外パレット)が打ち上げられました。設置は若田光一宇宙飛行士が行いました。	92	n071502t1							
07/16 07:00:00	【今日の人工衛星】7/16 1969年：アポロ11号 人類を初めて月面に送り込んだアポロ11号の打ち上げ。月面到着は7/20、地球帰還は7/24。月から持ち帰られた試料は21.55kgであった。	97	n071601d							
07/17 07:00:00	【今日の人工衛星】7/17 1977年：コスモス929号(TKS-1) 旧ソ連の宇宙ステーションへの輸送機の初回の全体試験。使用予定の軍事宇宙ステーション計画が中止され3回で退役したが技術はISSのソ連モジュールに活用	109	n071701d							
07/18 07:00:00	【今日の人工衛星】7/18 1966年：ジェミニ10号 8号・9A号では不完全に終わった軌道上のドッキングに成功。ヤング船長はアポロ10,16号とスペースシャトル(STS-1,6)、コリンズ飛行士はアポロ11号に参加	108	n071801d							
07/19 07:00:00	【今日の人工衛星】7/19 1967年：エクスプローラー35号 アメリカの月探査機。失敗した33号の代替。月楕円軌道で観測を行った	65	n071901d							
07/20 07:00:00	【今日の人工衛星】7/20 1965年：ヴェラ3A,3B,ERS-17 ヴェラは核実験監視衛星の初代Vela hotel型の最後の2機。ERS-17はX線・ガンマ線・宇宙線を検知する5つのセンサーを積んだ科学衛星	106	n072001d							
07/21 07:00:00	【今日の人工衛星】7/21 1961年：マーキュリー・レッドストーン4号 マーキュリー計画2回目の有人飛行。乗員はガス・グリソム。15分間の弾道飛行に成功。この時の様子は映画「ライトスタッフ」にも描かれている	104	n072101d							
07/22 07:00:00	【今日の人工衛星】7/22 1962年：マリナー1号 アメリカ初の惑星探査機。ただし、正常系の制御システムの故障と、バックアップ系の飛行ソフトウェアのバグが原因で打ち上げは失敗。なお、予備機の2号は8/27に打ち上げ成功	110	n072201d							
07/23 07:00:00	【今日の人工衛星】7/23 1972年：ランドサット1号 地球観測衛星のシリーズ初号機。現在は5号(1984年打ち上げ)と7号(1999年打ち上げ、一部故障)が稼働中。	84	n072301d							
07/23 07:01:00	【今日の人工衛星】7/23 1999年：STS-93,チャンドラX線観測衛星 大気で吸収されてしまうX線の観測を目的とした。シャトルから打ち上げられた3機の宇宙望遠鏡の1つでコロンビア号で打ち上げられた。	102	n072302d							
07/24 07:00:00	【今日の人工衛星】7/24 1992年：GEOTAIL 宇宙科学研究所が開発・運用、NASAが打ち上げを担当した磁気圏観測衛星。データレコーダーが動作を停止したため、2022年11月28日運用終了。1999年までは月スイングバイにより軌道変更をしていた(計14回)	132	n072401d				20230208	修正		
07/25 07:26:00	★1992年の今日7/25 7:26、デルタIIロケット6925型ロケットで磁気圏観測衛星GEOTAILが打ち上げられました。	63	n072401t1							
07/25 07:00:00	【今日の人工衛星】7/25 1973年：マルス5号 旧ソ連の火星探査機。7/21打ち上げの4号は火星周回軌道への投入が失敗したがこちらは成功。後の6,7号着陸船との通信も担うことになっていた	95	n072501d							
07/26 07:00:00	【今日の人工衛星】7/26 1971年：アポロ15号 アポロ計画は15号以降は科学調査に重点が置かれ、15号が月面車を初めて利用したミッションとなった。	76	n072601d							
07/26 07:01:00	【今日の人工衛星】7/26 2005年：STS-114 コロンビア号事故後初の打ち上げ、"Return to Flight"ミッション。野口聡一飛行士が搭乗。チャレンジャー号事故後初のフライトも同じディスカバリー号だった	110	n072602d							
07/27 07:00:00	【今日の人工衛星】7/27 1992年：ソユーズTM-15 旧ソ連が、宇宙ステーション「ミール」との往還に打ち上げたミッション。フランス人も参加。	73	n072701d							
07/28 07:00:00	【今日の人工衛星】7/28 1997年：スーパーバードC 旧・宇宙通信(現スカパーJSAT)の保有する通信衛星。現在も名称がA3になったものの稼働している。	78	n072801d							
07/29 07:00:00	【今日の人工衛星】7/29 1960年：マーキュリー・アトラス1号 マーキュリー計画の打ち上げのうち、アトラスロケットを使った初回の打ち上げ。発射実験が目的。	79	n072901d							
07/30 07:00:00	【今日の人工衛星】7/30 1965年：アポロA-105、ペガサス3号 アポロ計画におけるサターンI型最後の打ち上げ。司令船・機械船の模型と、宇宙塵採集衛星ペガサスの打ち上げが目的。目的は全て達成された。	102	n073001d							
07/31 07:00:00	【今日の人工衛星】7/31 2010年：北斗IGSO1 中国の測位システム北斗-2の5機目の衛星。傾斜対地同期軌道(IGSO)という軌道を取る3機の衛星の1号機として打ち上げ。	88	n073101d							
08/01 07:00:00	【今日の人工衛星】8/1 1967年：ルナ・オービター5号 アメリカの月探査機。1～3号でアポロの着陸候補地を、4～5号で月面全体の写真を撮影。5号は4号が撮影できなかった地点を補完 	92	n080101d							
08/02 07:00:00	【今日の人工衛星】8/2(UTC) 1984年：ひまわり3号 日本の気象衛星。日本時間8/3に種子島からN-IIロケット6号機で打ち上げ。ひまわり2号の不調をカバーするため少し早く打ち上げられた 	98	n080201d	J_N2	6	J_N2_6				
08/03 05:30:00	★1984年の今日8/3 5:30、N-IIロケット6号機で気象衛星ひまわり3号が打ち上げられました。	51	n080201t1	J_N2	6	J_N2_6				
08/03 07:00:00	【今日の人工衛星】8/3 2004年：メッセンジャー アメリカの水星探査機。7回のスイングバイを経て2011年3月18日に水星周回軌道入り。2015年5月に水星に落下してミッション完了するまでに、水星全体の撮影など様々な成果を上げた。	117	n080301d				20170808	修正		
08/04 07:00:00	【今日の人工衛星】8/4 2007年：フェニックス アメリカの火星探査機。過去中止された探査機の機器を再利用した。火星に過去水が存在したことを直接確認した 	78	n080401d							
08/05 07:00:00	【今日の人工衛星】8/5(UTC) 1983年：さくら2号b 日本の通信衛星。日本時間8月6日にN-IIロケット4号機で打ち上げ。1990年に運用終了。 	77	n080501d	J_N2	4	J_N2_4				
08/06 05:29:00	★1983年の今日8/6 5:29、N-IIロケット4号機で通信衛星さくら2号bが打ち上げられました。	51	n080501t1	J_N2	4	J_N2_4				
08/06 07:00:00	【今日の人工衛星】8/6 1961年：ボストーク2号 旧ソ連2回目、人類3回目の有人宇宙飛行。ゲルマン・チトフ飛行士の25歳11ヶ月は現在も最年少宇宙飛行記録 	80	n080601d							
08/07 07:00:00	【今日の人工衛星】8/7 1959年：エクスプローラー6号 アメリカの人工衛星。写真のスキャンデバイスを搭載、初めて地上に写真データを転送した衛星 	74	n080701d							
08/08 07:00:00	【今日の人工衛星】8/8 2001年：ジェネシス アメリカの探査機。太陽風に含まれる粒子のサンプルリターンが目的。月より遠い場所からの初のサンプルリターン 	78	n080801d							
08/09 07:00:00	【今日の人工衛星】8/9 1976年：ルナ24号 旧ソ連の月探査機。月探査計画"ルナ計画"最後の探査機。170gの土を採取、地球に持ち帰る 	70	n080901d							
08/10 07:00:00	【今日の人工衛星】8/10(UTC) 1981年：ひまわり2号 気象衛星、国内からの打ち上げ(N-IIロケット)は初。機械トラブルを抱え、3号運用直前には1号のリリーフ運用も行われた 	92	n081001d	J_N2	1	J_N2_1				
08/11 05:03:00	★1981年の今日8/11 5:03、N-IIロケット1号機で気象衛星ひまわり2号が打ち上げられました。	52	n081001t1	J_N2	1	J_N2_1				
08/11 07:00:00	【今日の人工衛星】8/11 2006年：JCSAT-3A スカパーJSATの保有する通信衛星、国際通信とスカパー!の放送に利用されている 	69	n081101d							
08/12 07:00:00	【今日の人工衛星】8/12(UTC) 1986年：あじさい(EGS) H-Iロケット初号機で打ち上げられた測地実験衛星。打ち上げから25年経つ2011年現在も運用中 	83	n081201d	J_H1	1	J_H1_1				
08/13 05:45:00	★1986年の今日8/13 5:45、H-Iロケット試験機1号機で、あじさい・じんだい・ふじ1号が打ち上げられました。	59	n081201t1	J_H1	1	J_H1_1				
08/12 07:01:00	【今日の人工衛星】8/12(UTC) 1986年：じんだい(MABES) 磁気軸受フライホイール実験装置 ふじ1号 日本初のアマチュア衛星。いずれもH-Iロケット初号機で打ち上げ 	90	n081202d	J_H1	1	J_H1_1				
08/13 07:00:00	【今日の人工衛星】8/13 1992年：Optus(Aussat) B1 オーストラリアの民間の通信衛星 1972年：エクスプローラー46号(MTS-A) アメリカの流星塵研究の衛星 	92	n081301d							
08/14 07:00:00	【今日の人工衛星】8/14(UTC) 2007年：BSAT-3a BSデジタル用の放送衛星。2011年現在BS-1,2,9,13,15chの放送を担当、2016年時点でも運用中。	89	n081401d				20170515	修正		
08/14 07:01:00	【今日の人工衛星】8/14(UTC) 2008年：Superbird C2 スカパーJSATの通信衛星。三菱電機が国際競争入札を勝ち抜いたことで、日本企業の保有する民間商用衛星としては初の国産となった 	101	n081402d							
08/15 07:00:00	【今日の人工衛星】8/15 1990年：プログレスM4 ミールへの物資輸送ミッション 1992年：プログレスM14 ミールにVDU推進ユニット（姿勢制御用ロケット）を輸送 	86	n081501d							
08/16 07:00:00	【今日の人工衛星】8/16 1971年：EOLE 1 フランス2番目の気象衛星、NASAとの協力によって打ち上げた初の衛星 	62	n081601d							
08/17 07:00:00	【今日の人工衛星】8/17 1996年：ふじ3号 アマチュア衛星として"みどり"と同時に打ち上げ、現在も運用中。 	57	n081701d							
08/17 07:01:00	【今日の人工衛星】8/17 1996年：みどり(ADEOS) 地球観測プラットフォーム衛星。大気・海洋・陸域観測結果の成果は大きかったが、太陽電池パドルのブランケットが破断し10ヶ月で運用停止。 	98	n081702d	J_H2	4	J_H2_4				
08/17 10:53:00	★1996年の今日8/17 10:53、H-IIロケット4号機で地球観測プラットフォーム衛星みどり(ADEOS)と相乗り衛星ふじ3号が打ち上げられました。	77	n081702t1	J_H2	4	J_H2_4				
08/18 07:00:00	【今日の人工衛星】8/18(UTC) 1985年：すいせい ハレー彗星観測を目的とした2機目の宇宙探査機。ハレー彗星からの塵で2回姿勢を乱すも無事に観測を完了 	80	n081801d	J_M3S2	2	J_M3S2_2				
08/19 08:33:00	★1985年の今日8/19 8:33、M-3SIIロケット2号機で宇宙探査機すいせいが打ち上げられました。	53	n081801t1	J_M3S2	2	J_M3S2_2				
08/19 07:00:00	【今日の人工衛星】8/19 1972年：でんぱ(REXS) 電離層・磁気圏観測衛星。打上時のランチャーの角度のズレにより予定と大きく異なる軌道に投入。70時間で故障したが、その軌道により高層大気密度のデータ収集が可能に 	110	n081901d	J_M4S	4	J_M4S_4				
08/19 11:40:00	★1972年の今日8/19 11:40、M-4Sロケット4号機で電離層・磁気圏観測衛星でんぱ(REXS)が打ち上げられました。	63	n081901t1	J_M4S	4	J_M4S_4				
08/20 07:00:00	【今日の人工衛星】8/20 1975年：バイキング1号 火星探査機。着陸船は翌1976年7月20日に着陸。ほとんどの実験を完了 	64	n082001d							
08/20 07:01:00	【今日の人工衛星】8/20 1977年：ボイジャー2号 宇宙探査機。木星・土星・天王星・海王星のグランドツアーを初めて実現した探査機 	67	n082002d				20170820	誤変換修正		
08/21 07:00:00	【今日の人工衛星】8/21 1965年：ジェミニ5号 ジェミニ計画5回目の飛行 2009年：JCSAT-RA スカパーJSATの通信衛星、予備衛星として軌道上で待機中(日本時間は8/22打上) 	97	n082101d							
08/22 07:00:00	【今日の人工衛星】8/22 2006年：Koreasat5 韓国の放送衛星(4は縁起の悪い数字ということで欠番)、太平洋上からゼニート3SLロケットで打上 	78	n082201d							
08/23 07:00:00	【今日の人工衛星】8/23(UTC) 2005年：きらり 衛星間のレーザー光による通信実験を実施。ESAのARTEMISや地上局との通信に成功。 れいめい 小型技術実証衛星。理学・工学ミッション以外に若手の技術習得も目的 	111	n082301d							
08/24 06:10:00	★2005年の今日8/24 6:10、ドニエプルロケットで光衛星間通信実験衛星きらり・小型技術実証衛星れいめいが打ち上げられました。	66	n082301t1							
08/24 07:00:00	【今日の人工衛星】8/24 1966年：ルナ11号 旧ソ連の月探査機。月周回楕円軌道から重力異常・月面の化学組成・月近傍の流星物質・月近傍の微粒子線を調査。 	79	n082401d							
08/25 07:00:00	【今日の人工衛星】8/25 1991年：ゆり3号b 日本の放送衛星。H-Iロケット8号機で打ち上げられ、ゆり3号aの太陽電池不具合による出力不足を補った。現時点で、種子島から打ち上げた最後の放送衛星。1998年運用停止 	110	n082501d	J_H1	8	J_H1_8				
08/25 17:04:00	★1991年の今日8/25 17:04、H-Iロケット8号機で放送衛星ゆり3号bが打ち上げられました。	51	n082501t1	J_H1	8	J_H1_8				
08/26 07:00:00	【今日の人工衛星】8/26 2005年：Monitor-E ロシアの地球観測衛星。打ち上げ直後に故障・通信不能となるも復旧。農業関係、災害関係、汚染状況把握などを目的としている	88	n082601d							
08/26 07:01:00	【今日の人工衛星】8/27 2023年：X線天文衛星代替機(XRISM)、小型月着陸実証機(SLIM) XRISMは、喪失したASTRO-Hの代替機として、期待された科学的成果を上げている。SLIMは、日本発の月面探査機として、ピンポイント着陸を含む様々な世界初の成果を上げた。	139	n082602d	J_H2A	47	J_H2A_47	20240226	追加		
08/26 09:34:57	★2023年の今日8/26 09:34:57、H-IIAロケット47号機でX線天文衛星代替機(XRISM)と小型月着陸実証機(SLIM)が打ち上げられました。	79	n082602t1	J_H2A	47	J_H2A_47	20240226	追加		
01/20 00:20:00	★2024年の今日1/20 00:20ごろ、小型月着陸実証機(SLIM)が月面に着陸しました。スラスタの不具合により想定とは異なる着陸形態になり発電がされない状態になりましたが、1/28に発電が始まり、所期の通信・観測などに成功しました。	119	n082602t2	J_H2A	47	J_H2A_47	20240226	追加		
02/25 19:00:00	★2024年の今日2/25 19時過ぎ、小型月着陸実証機(SLIM)からの通信が再開しました。越夜を想定していないにもかかわらず、月の夜を越えて稼働しました。越夜に成功したのは、アメリカ・旧ソ連・中国に続く4ヶ国目です。	110	n082602t3	J_H2A	47	J_H2A_47	20240227	誤記修正		
08/27 07:00:00	【今日の人工衛星】8/27 (18:20打上) 1987年：きく5号 H-Iロケット試験機2号機の性能確認と、移動体通信実験のための衛星。静止3軸衛星バスの基盤技術を確立。	86	n082701d	J_H1	2	J_H1_2				
08/27 18:20:00	★1991年の今日8/27 18:20、H-Iロケット2号機で技術試験衛星きく5号が打ち上げられました。	52	n082701t1	J_H1	2	J_H1_2				
08/28 07:00:00	【今日の人工衛星】8/28 (16:50打上) 1994年：きく6号 H-IIロケット試験機2号機により打上。アポジエンジンの不具合により静止軌道投入は出来なかったが、多くの実験は実施された。	96	n082801d	J_H2	2	J_H2_2				
08/28 16:50:00	★1994年の今日8/28 16:50、H-IIロケット試験機2号機で技術試験衛星きく6号が打ち上げられました。	56	n082801t1	J_H2	2	J_H2_2				
08/28 07:00:00	【今日の人工衛星】8/28 (18:05打上) 1990年：ゆり3号a H-Iロケット7号機で打ち上げた放送衛星。翌1991年に太陽電池に不具合が発生、一部の放送は、ゆり2号b/3号bがサポートした	99	n082802d	J_H1	7	J_H1_7				
08/28 18:05:00	★1990年の今日8/28 18:05、H-Iロケット7号機で放送衛星ゆり3号aが打ち上げられました。	51	n082802t1	J_H1	7	J_H1_7	20240224	誤記修正		
08/29 07:00:00	【今日の人工衛星】8/29 (16:00打上) 2001年：H-IIAロケット試作機1号機 レーザ測距装置（LRE）と性能確認用ペイロード（VEP-2）を静止トランスファ軌道へ投入、試験は無事成功した	100	n082901d	J_H2A	1	J_H2A_1				
08/29 16:00:00	★2001年の今日8/29 16:00、H-IIAロケット試作機1号機でレーザ測距装置LREと性能確認用ペイロードVEP-2が打ち上げられました。	73	n082901t1	J_H2A	1	J_H2A_1				
08/30 07:00:00	【今日の人工衛星】8/30 1991年：ようこう M-3SIIロケット6号機にて打ち上げられた太陽観測衛星。その後10年3ヶ月に渡り観測を続けた。太陽活動周期(11年)に相当する連続観測は世界初。	98	n083001d	J_M3S2	6	J_M3S2_6				
08/30 11:00:00	★1991年の今日8/30 11:00、M-3SIIロケット6号機で太陽観測衛星ようこうが打ち上げられました。	55	n083001t1	J_M3S2	6	J_M3S2_6				
08/31 07:00:00	【今日の人工衛星】8/31 2009年：Palapa-D インドネシアの通信衛星。長征3号Bロケットで打上。3段目の2回目燃焼に失敗したが、無事静止軌道に投入した（が寿命は15年から10年に縮んだ）	99	n083101d							
09/01 07:00:00	【今日の人工衛星】9/1 2000年：Zhangguo Ziyuan 2 中国の地球観測衛星。穀物生産、自然災害観測などを目的としている。長征2号ロケットで打上。	81	n090101d							
09/02 07:00:00	【今日の人工衛星】9/2 1971年：ルナ18号 旧ソ連の月探査機。2回目のサンプルリターンを目指すも、月への着陸に失敗。その後ルナ20号・24号がサンプルリターンを成功させた	88	n090201d							
