Time	Text	Length	Number	Rocket_type	Rocket_number	for_search	Updated_date	Update_info	memo	
04/06 07:00:00	【今日の人工衛星】4/6 1973年：パイオニア11号　史上初の土星探査機。木星・土星を観測し、その後も通信が続いていたが、1995年9月30日に電力不足で通信途絶。ちなみに10号は2003年まで通信が続いていた。	107	n040601d							
04/07 07:00:00	【今日の人工衛星】4/7 1978年：ゆり1号(日本時間では翌日) 衛星放送の実験衛星。一般家庭向けの放送は行わず 2001年：2001マーズ・オデッセイ NASAの火星探査機。ミッション後、他の探査機の通信の中継も担当	110	n040701d							
04/08 07:00:00	【今日の人工衛星】4/8 1964年：ジェミニ1号 マーキュリー計画に続くジェミニ計画の1号機、試験のため無人打上げ 1970年：ヴェラ6号 核実験監視衛星。X線測定器・中性子・ガンマ線測定器を備え、宇宙空間での実験を監視。	112	n040801d							
04/09 07:00:00	【今日の人工衛星】4/9 1994年：STS-59 スペースシャトル・エンデバーの6回目の飛行。スペース・レーダー実験室(SRL)を搭載し、地球環境を観測した。	80	n040901d							
04/10 07:00:00	【今日の人工衛星】4/10 1982年：INSAT-1A インドの気象・通信・放送衛星。米国デルタロケットで打ち上げ。軌道投入が失敗し1年で寿命となる。インドは気象と通信・放送の相乗りが中心、打ち上げは他国のロケットを使用	111	n041001d							
04/11 07:00:00	【今日の人工衛星】4/11 1970年：アポロ13号　アポロ計画の3度目の月着陸を目指した飛行で、月に向かう途中に事故が発生したものの、3名の飛行士が無事帰還したことから"successful failure"とも呼ばれるミッションである	119	n041101d				20170515	修正		
04/12 07:00:00	【今日の人工衛星】4/12 1961年：ボストーク1号 宇宙飛行士ユーリ・ガガーリンが人類初の宇宙飛行（大気圏外を飛行、地球周回軌道に乗る）を行った宇宙船。最高高度327km、地球を1周して108分の飛行の後帰還	106	n041201d							
04/12 07:01:00	【今日の人工衛星】4/12 1981年：STS-1 スペースシャトルの栄えある初回の飛行。無事に打ち上げ、機能し、帰還することを目的とした飛行。2日間・地球36周の飛行後、無事に地球に帰還。	95	n041202d							
04/13 07:00:00	【今日の人工衛星】4/13 1960年：Transit 1B アメリカ海軍の測位衛星。1Aは打ち上げ失敗したため初号機である。原子力潜水艦などの測位に利用され、精度は25m。	87	n041301d							
04/13 07:01:00	【今日の人工衛星】4/13 2006年：JCSAT-5A スカパーJSATの通信衛星。NTTドコモの衛星電話サービスN-STARも担当。Zenit-3SLロケットで打上。	85	n041302d							
04/14 07:00:00	【今日の人工衛星】4/14 2009年：コンパスM1 中国の衛星測位システム「北斗2」の初号機。30機の人工衛星で測位システムを整備する予定。	71	n041401d							
04/15 07:00:00	【今日の人工衛星】4/15 2005年：DART 米国の、自律的に他の衛星に接近したりドッキングしたりする技術の試験衛星。実験相手の軍事衛星MUBLCOMとの接近を試みるも衝突、軌道が変わってしまい、結果として実験は失敗	110	n041501d							
04/16 07:00:00	【今日の人工衛星】4/16 1997年：BSAT-1a 日本の放送衛星。大容量バッテリを搭載することで、それまで衛星放送を担ってきたBS-3(ゆり)と異なり、春と秋の発電量不足による放送休止をなくした。	101	n041601d							
04/16 07:01:00	【今日の人工衛星】4/16 2004年：SUPERBIRD A2 スカパーJSATの通信衛星。打上は成功したものの軌道投入に失敗。	65	n041602d							
04/17 07:00:00	【今日の人工衛星】4/17 2007年：EgyptSat 1 エジプトが宇宙開発技術を習得するために打ち上げた地球観測衛星。Saudisat 3ほかと16基同時打上げ。	84	n041701d							
04/18 07:00:00	【今日の人工衛星】4/18 2001年：GSAT1 インドのGSLVロケット初号機(試験機)で打ち上げた衛星。静止衛星打ち上げ能力の獲得を目的とした。静止トランスファー軌道まで投入できたが、最終的な静止衛星化は失敗。	108	n041801d							
04/19 07:00:00	【今日の人工衛星】4/19 1971年：サリュート1号 旧ソ連が打ち上げた世界初の宇宙ステーション。主鏡直径28cmの紫外線望遠鏡も搭載。火事などのトラブルはあったが飛行士の滞在自体は成功。10月11日に大気圏再突入、消滅	111	n041901d							
04/20 07:00:00	【今日の人工衛星】4/20 1977年：ESA-GEOS1 欧州宇宙機関(ESA)初の科学観測を行う静止衛星。 2004年：Gravity Probe B　重力探査衛星。相対性理論を「物体の角運動量」が作る時空の歪みで検証	111	n042001d							
04/21 07:00:00	【今日の人工衛星】4/21 1997年：Celestis アメリカの商業衛星。衛星に故人の遺灰を乗せて打ち上げるサービス。ご遺骨のうち７ｇが宇宙に飛び立つ	77	n042101d							
04/22 07:00:00	【今日の人工衛星】4/22 2010年：OTV1 アメリカ合衆国が開発中の無人スペースプレーンの軌道試験機。同年12月3日に無事に地球に着陸。軌道上に270日滞在が可能	84	n042201d							
04/23 07:00:00	【今日の人工衛星】4/23 1967年：ソユーズ1号　有人打上げが夜間に行なわれた最初の例。試験飛行の成功なく打ち上げられ、様々なトラブルに見舞われた上、墜落。有人宇宙飛行の歴史における、最初の飛行中の死亡事故となった	109	n042301d							
04/24 07:00:00	【今日の人工衛星】4/24 1972年：アポロ16号子衛星(PFS-2) 月周回軌道上の司令機械船から4/24に子衛星を放出。磁場や太陽風粒子に関する実験を34日間にわたり実施	88	n042401d							
04/25 07:00:00	【今日の人工衛星】4/25 1990年：ハッブル宇宙望遠鏡 地上600kmを周回する望遠鏡。主鏡の口径は2.4m、重さ11t。可視光、紫外、近赤外が観測可能。5回の修理ミッションにより現在も世界最高水準の性能を発揮。	108	n042501d							
04/26 07:00:00	【今日の人工衛星】4/26 2005年：Spaceway1 米DirecTVの放送衛星。通常の名称と違う命名なのは、元々ヒューズ社の計画だった本衛星がヒューズ社ごとDirecTVの親会社ニューズ社に買収されたため。	107	n042601d							
04/27 07:00:00	【今日の人工衛星】4/27 1961年：エクスプローラー11号（別名：S15） 米国の宇宙望遠鏡。世界で初めてガンマ線望遠鏡を搭載。およそ7ヶ月の間、ガンマ線・宇宙線の検出を行った	90	n042701d							
04/28 07:00:00	【今日の人工衛星】4/28 1998年：BSAT-1b BS用の放送衛星。BSデジタルの最初の放送を担当。予備衛星となった後もトラブルが続いたBSAT-2aのリリーフを2回行った。2011年8月30日に運用終了。	106	n042801d				20170515	確認		
04/28 07:01:00	【今日の人工衛星】4/28 2008年：SEEDS-2(日大)Cute-1.7(東工大) 両大学の小型衛星(CubeSat)。このときインドPSLVロケットは同時に合計10個の衛星を打ち上げたがこれは同ロケットの当時の最大記録だった（現在は100個以上となっている）	133	n042802d				20180427	修正		
04/29 07:00:00	【今日の人工衛星】4/29 1985年：STS-51B チャレンジャー号の打ち上げ。主任務はスペースラブ3（通算2回目）実験	62	n042901d							
04/30 07:00:00	【今日の人工衛星】4/30 1976年：NOSS 1-1 アメリカ海軍が使う海上監視衛星(Naval Ocean Surveillance System)の初代。3機が一組で海上からの電波を監視するものと推測されている	109	n043001d							
